ID,COURSEOVERGROUND,EVENTCERTAINTY,LATITUDE,LONGITUDE,POSITIONINTERPOLATED,SPEEDOVERGROUND,VESSEL_ID,Timestamp,DelSpeed,DelHeading,DelTime
55,169.1000061,2,55.77092,10.81072833,FALSE,7,6,1398308613,-4.19999981,3.5,24
56,144.5,2,55.76953667,10.81254667,FALSE,17.10000038,6,1398308673,10.10000038,-24.6000061,60
57,165.1000061,2,56.02951,12.65962,FALSE,7.900000095,6,1398308690,-9.200000285,20.6000061,17
58,143,2,55.76803,10.81442667,FALSE,17,6,1398308697,9.099999905,-22.1000061,7
59,143,2,55.76803,10.81442667,FALSE,17,6,1398308697,0,0,0
60,319.2999878,3,54.73079167,8.689781667,FALSE,0.300000012,6,1398308701,-16.69999999,176.2999878,4
61,319.2999878,3,54.73079167,8.689781667,FALSE,0.300000012,6,1398308701,0,0,0
62,139.5,2,55.76722667,10.815375,FALSE,17.70000076,6,1398308709,17.40000075,-179.7999878,8
63,139.5,2,55.76722667,10.815375,FALSE,17.70000076,6,1398308709,0,0,0
64,140.3000031,2,55.766455,10.816345,FALSE,17.10000038,6,1398308721,-0.60000038,0.8000031,12
65,140.3000031,2,55.766455,10.816345,FALSE,17.10000038,6,1398308721,0,0,0
66,147.6000061,2,55.76562,10.81734833,FALSE,16.39999962,6,1398308733,-0.70000076,7.300003,12
67,147.6000061,2,55.76562,10.81734833,FALSE,16.39999962,6,1398308733,0,0,0
68,109.4000015,3,54.52874333,11.25067333,FALSE,2.599999905,6,1398308736,-13.79999972,-38.2000046,3
69,109.4000015,3,54.52874333,11.25067333,FALSE,2.599999905,6,1398308736,0,0,0
70,22.39999962,3,54.615985,11.31262333,FALSE,8,6,1398308737,5.400000095,-87.00000188,1
71,236,3,54.49019167,10.27830833,FALSE,1.600000024,6,1398308762,-6.399999976,213.6000004,25
72,24.39999962,2,54.617625,11.31383333,FALSE,8,6,1398308785,6.399999976,-211.6000004,23
73,247.6999969,3,54.49002333,10.27761333,FALSE,1.399999976,6,1398308822,-6.600000024,223.2999973,37
74,195.8000031,3,55.618615,7.601516667,FALSE,11.60000038,6,1398308843,10.2000004,-51.8999938,21
75,23.10000038,2,54.61967,11.31535667,FALSE,8,6,1398308845,-3.60000038,-172.7000027,2
76,123.4000015,3,54.528115,11.25246,FALSE,2.5,6,1398308847,-5.5,100.3000011,2
77,123.4000015,3,54.528115,11.25246,FALSE,2.5,6,1398308847,0,0,0
78,357.3999939,3,55.08652167,8.568541667,FALSE,0.899999976,6,1398308850,-1.600000024,233.9999924,3
79,127.3000031,3,56.980475,8.918628333,FALSE,5.199999809,6,1398308873,4.299999833,-230.0999908,23
80,127.3000031,3,56.980475,8.918628333,FALSE,5.199999809,6,1398308873,0,0,0
81,283.2000122,3,55.61850833,7.60108,FALSE,0.600000024,6,1398308878,-4.599999785,155.9000091,5
82,131.1000061,3,56.98010833,8.91938,FALSE,5.800000191,6,1398308893,5.200000167,-152.1000061,15
83,131.1000061,3,56.98010833,8.91938,FALSE,5.800000191,6,1398308893,0,0,0
84,23,3,54.62137167,11.3166,FALSE,8,6,1398308895,2.199999809,-108.1000061,2
85,23,3,54.62205,11.3171,FALSE,8,6,1398308915,0,0,20
86,333.5,0,56.03309333,12.61722167,FALSE,0,7,1398308589,0,0,0
87,320.7000122,0,56.03309167,12.617225,FALSE,0,7,1398308607,0,-12.7999878,18
88,92.69999695,0,56.03309167,12.617225,FALSE,0,7,1398308617,0,-228.0000153,10
89,152.8999939,0,56.03308833,12.61722833,FALSE,0,7,1398308628,0,60.19999695,11
90,0,0,56.03309,12.61722833,FALSE,0,7,1398308649,0,-152.8999939,21
91,137.3999939,0,56.03308833,12.617235,FALSE,0,7,1398308666,0,137.3999939,17
92,167.1000061,0,56.03308833,12.61723333,FALSE,0,7,1398308677,0,29.7000122,11
93,138.8999939,0,56.0330878,12.6172344,TRUE,0,7,1398308687,0,-28.2000122,10
94,138.8999939,0,56.03308727,12.61723547,TRUE,0,7,1398308697,0,0,10
95,138.8999939,0,56.03308673,12.61723653,TRUE,0,7,1398308707,0,0,10
96,138.8999939,0,56.03308667,12.61723667,FALSE,0,7,1398308709,0,0,2
97,117.4000015,0,56.03308833,12.61723333,FALSE,0,7,1398308727,0,-21.4999924,18
98,305.6000061,0,56.03309,12.61723,FALSE,0,7,1398308737,0,188.2000046,10
99,83.09999847,0,56.03309,12.6172284,TRUE,0,7,1398308747,0,-222.5000076,10
100,83.09999847,0,56.03309,12.6172268,TRUE,0,7,1398308757,0,0,10
101,83.09999847,0,56.03309,12.6172252,TRUE,0,7,1398308767,0,0,10
102,83.09999847,0,56.03309,12.617225,FALSE,0,7,1398308769,0,0,2
103,340.3999939,0,56.03309,12.61722333,FALSE,0,7,1398308787,0,257.2999954,18
104,354.1000061,0,56.03309,12.617225,FALSE,0,7,1398308797,0,13.7000122,10
105,123.0999985,3,54.52771333,11.25366333,FALSE,2.400000095,7,1398308916,2.400000095,-231.0000076,119
106,123.0999985,3,54.52771333,11.25366333,FALSE,2.400000095,7,1398308916,0,0,0
107,249.6000061,3,54.48976333,10.27665833,FALSE,1.200000048,7,1398308932,-1.200000047,126.5000076,16
